# TEMA: A GÊNESE DA CIVILIZAÇÃO OCIDENTAL NA GRÉCIA ANTIGA
# DESCRIÇÃO: Análise dos períodos Pré-Homérico, Arcaico e Clássico, focando nas estruturas de Micenas, Atenas e Esparta, filosofia, guerras e o Helenismo.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"RAÍZES DA HÉLADE: Qual civilização estabeleceu as bases culturais e marítimas da região egeia (c. 2000 a.C.), sendo a primeira grande civilização da Idade do Bronze no mundo grego?","Civilização Micênica","Civilização Minoica (Cretense)","Civilização Eólia","Civilização Dórica",b
"RAÍZES DA HÉLADE: Qual grupo de povos indo-europeus fundou a Civilização Micênica (c. 1600–1200 a.C.), caracterizada por uma sociedade altamente militarizada?","Jônios","Eólios","Dórios","Aqueus",d
"RAÍZES DA HÉLADE: Qual rei lendário está associado à cidade de Micenas e ao conflito de Troia?","Ulisses (Odisseu)","Aquiles","Páris","Agamemnon",d
"RAÍZES DA HÉLADE: Qual foi a principal consequência da derrocada catastrófica do sistema micênico por volta de 1200 a.C.?","O auge da democracia ateniense.","O início das Guerras Médicas.","A Idade das Trevas, marcada pela perda da escrita e da organização política complexa.","A ascensão do Império Persa.",c
"RAÍZES DA HÉLADE: O que as epopeias *A Ilíada* e *A Odisseia* (atribuídas a Homero) representaram para a Grécia após o colapso micênico?","Meramente registros de batalhas.","Constituições escritas para as novas cidades-estado.","Modelos morais, religiosos e sociais que funcionaram como 'enciclopédias' para os gregos.","O primeiro código de leis draconianas.",c
"RAÍZES DA HÉLADE: Qual virtude heroica o personagem de Ulisses celebra em *A Odisseia*, em contraste com a força bruta?","A piedade religiosa","A riqueza e a propriedade de terras","A inteligência e a astúcia","A lealdade total à família",c
"PÓLIS E REVOLUÇÃO MILITAR: Qual foi a nova unidade política autônoma que emergiu no Período Arcaico (c. 800–500 a.C.)?","A Liga de Delos","O Reino Unido da Hélade","A Pólis (Cidade-Estado)","O Império Marítimo",c
"PÓLIS E REVOLUÇÃO MILITAR: Qual forma de governo se tornou o principal exemplo de experimentação política em Atenas?","Monarquia","Oligarquia","Tirania","Democracia",d
"PÓLIS E REVOLUÇÃO MILITAR: Qual era o nome do soldado-cidadão de infantaria pesada que fornecia seu próprio armamento?","Thete","Perieco","Hilota","Hoplita",d
"PÓLIS E REVOLUÇÃO MILITAR: Qual era a principal desvantagem tática da Falange, a formação militar que dominou os campos de batalha da antiguidade?","A rigidez, a pouca velocidade e a dificuldade de manobrabilidade.","A sua dependência de arcos e flechas.","O alto custo do armamento.","A sua dependência de grandes unidades de cavalaria.",a
"PÓLIS E REVOLUÇÃO MILITAR: O que a Revolução Hoplítica estabeleceu como princípio para a participação política dentro da pólis?","Que a riqueza definia a cidadania.","Que o valor cívico e o direito político deveriam ser proporcionais ao sacrifício militar do cidadão.","Que apenas os aristocratas poderiam ter direitos políticos.","Que o voto deveria ser universal para todos os habitantes.",b
"ESPARTA: Qual era o principal objetivo da organização social e educacional totalitária de Esparta?","Expandir seu território pela Ásia Menor.","Incentivar o comércio e a navegação.","Manter o controle rígido sobre a vasta população de Hilotas (servos estatais).","Promover a filosofia e a retórica.",c
"ESPARTA: Qual a famosa frase atribuída às mães espartanas, que resume a filosofia militarista de seu Estado?","'Conhece-te a ti mesmo'","'Viver bem é viver com virtude'","'Com o seu escudo, ou deitado sobre ele'","'O homem é a medida de todas as coisas'",c
"ESPARTA: Qual instituição detinha o poder executivo e supervisionava a Gerúsia e os reis na oligarquia espartana?","A Apela (Assembleia Popular)","O Eforato (cinco magistrados eleitos anualmente)","A Diarquia (Os dois reis)","O Conselho de Iguais",b
"ESPARTA: Como eram chamados os habitantes livres da periferia de Esparta que não possuíam direitos políticos, mas eram responsáveis pelo comércio e artesanato?","Hilotas","Esparciatas","Metecos","Periecos",d
"ESPARTA: O que era a Agogé?","O sistema de governo espartano.","O sistema de educação militar compulsória imposto aos jovens espartanos.","A assembleia popular de Esparta.","O nome dado às terras cultivadas pelos Hilotas.",b
"ATENAS: Qual aristocrata foi encarregado de codificar as leis de Atenas em 621 a.C., resultando em um código famoso por sua severidade implacável?","Sólon","Clístenes","Drácon","Péricles",c
"ATENAS: Qual foi a importância histórica, apesar da crueldade, do Código de Drácon?","Ele iniciou a democracia direta em Atenas.","Ele limitou o poder arbitrário de interpretação das leis pelos aristocratas, tornando os costumes orais em leis escritas e claras.","Ele aboliu a escravidão por dívidas.","Ele criou o ostracismo.",b
"ATENAS: A cidadania na democracia ateniense era rigidamente restrita, excluindo qual grande grupo, embora livre, não tinha direitos políticos e se dedicava ao comércio?","Esparciatas","Periecos","Metecos (estrangeiros)","Eupátridas",c
"ATENAS: Qual era o mecanismo de proteção democrática instituído por Clístenes que permitia exilar por dez anos qualquer político que representasse uma ameaça à estabilidade?","A Diarquia","A Agogé","O Ostracismo","A Lei de Drácon",c
"ATENAS: A democracia ateniense dependia paradoxalmente da escravidão. Como a escravidão ajudava o cidadão médio (o camponês)?","Garantia que o camponês tivesse a maior parte da terra.","Permitia-lhe tempo livre para participar da vida política da cidade, liberando-o de trabalhos repetitivos.","Fornecia-lhe armas e armaduras de graça.","Tornava-o elegível para o Eforato.",b
"ATENAS: O que as reformas de Sólon (594 a.C.) aboliram para os cidadãos atenienses?","O direito de voto.","A escravidão por dívidas.","A monarquia.","O comércio marítimo.",b
"RELIGIÃO E GUERRAS MÉDICAS: Qual deus grego era o deus dos mares e rios, patrono dos marinheiros, muito temido e conhecido por sua rivalidade com Zeus?","Ares","Poseidon","Hades","Apolo",b
"RELIGIÃO E GUERRAS MÉDICAS: Qual deusa nasceu diretamente da cabeça de Zeus e era cultuada como a deusa da sabedoria, das habilidades e da guerra defensiva?","Afrodite","Hera","Ártemis","Atena",d
"RELIGIÃO E GUERRAS MÉDICAS: Qual foi o principal evento que uniu temporariamente as póleis gregas (Liga Helênica)?","A Guerra do Peloponeso.","As Guerras Médicas (contra o Império Persa).","O Colapso Micênico.","A Conquista Macedônica.",b
"RELIGIÃO E GUERRAS MÉDICAS: Qual foi o rei espartano que liderou os 300 espartanos e aliados na Batalha das Termópilas contra o exército persa de Xerxes?","Agamemnon","Temístocles","Pausânias","Leônidas",d
"RELIGIÃO E GUERRAS MÉDICAS: A vitória final grega nas Guerras Médicas foi assegurada no mar, com a Batalha de Salamina, comandada por qual líder ateniense?","Péricles","Leônidas","Temístocles","Sólon",c
"RELIGIÃO E GUERRAS MÉDICAS: A quem foi creditado o papel essencial na defesa nacional que contribuiu diretamente para a radicalização da democracia em Atenas pós-guerra?","Aos hoplitas aristocratas.","Aos thetes (classe mais pobre) que serviam como remadores na frota naval.","Aos sacerdotes de Zeus.","Aos metecos e escravos.",b
"COLAPSO E ERA HELENÍSTICA: Em 478 a.C., Atenas formou qual aliança que rapidamente transformou em seu Império Marítimo, gerando ressentimento entre os aliados?","A Liga do Peloponeso","A Liga Jônica","A Liga Helênica","A Liga de Delos",d
"COLAPSO E ERA HELENÍSTICA: Qual foi o confronto devastador (431–404 a.C.) que demonstrou a fraqueza sistêmica do modelo da pólis e esgotou a Grécia?","As Guerras Médicas","A Guerra do Peloponeso (Atenas vs. Esparta)","A Batalha de Maratona","A Revolução Hoplítica",b
"COLAPSO E ERA HELENÍSTICA: Qual cidade-estado desafiou e chegou a derrotar a hegemonia espartana, após a Guerra do Peloponeso?","Corinto","Macedônia","Tebas","Atenas (novamente)",c
"COLAPSO E ERA HELENÍSTICA: Qual potência externa, liderada por Filipe II, explorou o enfraquecimento mútuo das póleis gregas e conquistou a Grécia em 338 a.C.?","O Império Persa","O Império Romano","A Macedônia","O Reino de Cartago",c
"COLAPSO E ERA HELENÍSTICA: Qual foi o período que se seguiu às conquistas de Alexandre, o Grande, caracterizado pela fusão da cultura grega com as culturas orientais?","Período Clássico","Período Arcaico","Período Helenístico","Idade das Trevas",c
