# TEMA: AS PRIMEIRAS CRUZADAS: DA CRUZADA POPULAR À SEGUNDA CRUZADA
# DESCRIÇÃO: Análise dos objetivos (motivação triplice), contexto político, Concílio de Clermont, Cruzada Popular, Primeira Cruzada (Nobre) e o fracasso da Segunda Cruzada após a queda de Edessa.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"CONTEXTO GERAL E MOTIVAÇÕES: O que foram as Cruzadas e em qual período se iniciaram?","Um movimento de colonização espanhola no século XV.","Um longo período de guerras santas promovidas pelo Papado, iniciado no final do século XI.","Guerras de defesa do Império Bizantino no século IX.","Expedições puramente comerciais no Mar Mediterrâneo.",b
"CONTEXTO GERAL E MOTIVAÇÕES: Qual era a 'Motivação Tríplice' que impulsionou o movimento das Cruzadas?","Fé (libertação do Santo Sepulcro), Aventura (busca por terras) e Política (apoio à Bizâncio).","Comércio (especiarias), Conquista (novos reinos) e Proselitismo (conversão forçada).","Paz (fim das guerras internas), Justiça (reforma legal) e Comércio (rotas marítimas).","Ouro (riqueza), Glória (fama) e Expansão (territorial).",a
"CONTEXTO GERAL E MOTIVAÇÕES: Qual foi o principal evento que serviu como justificativa imediata para o apelo papal, sendo um desvio do foco inicial de contenção?","O Grande Cisma do Oriente.","A pressão militar dos Turcos Seljúcidas sobre o Império Bizantino e a Terra Santa.","O domínio dos mares pelos Vikings.","A queda do Condado de Edessa.",b
"CONTEXTO GERAL E MOTIVAÇÕES: Qual Concílio, em 1095, marcou o chamado oficial à Primeira Cruzada, onde o Papa Urbano II prometeu indulgências e perdão dos pecados aos participantes?","Concílio de Niceia I","Concílio de Trento","Concílio de Clermont","Concílio de Latrão",c
"CONTEXTO GERAL E MOTIVAÇÕES: Além da fé, qual mecanismo o Papado buscou aplicar com a convocação da Cruzada para a Terra Santa?","A centralização total do poder em Roma.","A canalização da violência da nobreza feudal europeia para fora do continente.","A abolição total da escravidão.","O estabelecimento da Inquisição Medieval.",b
"CONTEXTO GERAL E MOTIVAÇÕES: Qual foi a Batalha (em 1071) que ilustrou a ameaça turca sobre Bizâncio, sendo uma das maiores derrotas do Império Bizantino?","Batalha de Damasco","Batalha de Nicéia","Batalha de Manzikert","Batalha de Antioquia",c
"PRIMEIRA CRUZADA E REINO LATINO: O que foi a 'Cruzada Popular' (1096), que precedeu a dos nobres e foi marcada por massacres e desorganização?","Uma expedição liderada por reis e príncipes da Europa Ocidental.","Um movimento desorganizado de camponeses e baixa nobreza, liderado por figuras como Pedro, o Eremita.","O ataque à cidade de Damasco.","Uma expedição puramente religiosa sem fins militares.",b
"PRIMEIRA CRUZADA E REINO LATINO: Como foi chamada a expedição dos exércitos organizados da nobreza europeia que partiu após a Cruzada Popular?","Cruzada dos Reis","Cruzada dos Pobres","Cruzada dos Monges","Cruzada dos Nobres",d
"PRIMEIRA CRUZADA E REINO LATINO: Quem foi Godofredo de Bulhões?","O Papa que convocou a Cruzada.","Um dos principais líderes da Primeira Cruzada, que se tornou o primeiro governante do Reino Latino de Jerusalém.","O líder da Cruzada Popular.","O inimigo turco.",b
"PRIMEIRA CRUZADA E REINO LATINO: Quem foi Boemundo de Tarento?","Um dos líderes da Primeira Cruzada que fundou e governou o Principado de Antioquia.","O Rei de Jerusalém após Godofredo.","O comandante da frota naval que atacou Jaffa.","O teólogo que defendeu a Cruzada.",a
