# TEMA: AS CRUZADAS: DO AUGE DOS REIS (3ª) À TRAIÇÃO DE CONSTANTINOPLA (4ª) E AO FRACASSO DO EGITO (5ª)
# DESCRIÇÃO: Quiz detalhado sobre os contextos, líderes, eventos-chave, desvios e resultados das Terceira, Quarta e Quinta Cruzadas (1189–1221).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"TERCEIRA CRUZADA (1189–1192): Qual evento catalisou a convocação da Terceira Cruzada?","O Cisma do Oriente.","A vitória de Saladin (Saladino) na Batalha de Hattin (1187) e a captura de Jerusalém.","A queda do Condado de Edessa.","O ataque à cidade de Zara.",b
"TERCEIRA CRUZADA (1189–1192): Quem foi o famoso líder muçulmano que unificou as forças islâmicas e capturou Jerusalém em 1187?","Baibars.","Nur ad-Din.","Saladino (Salah ad-Din).","Zengi.",c
"TERCEIRA CRUZADA (1189–1192): Quais foram os três principais monarcas europeus que lideraram a Terceira Cruzada (Cruzada dos Reis)?","Luís VII, Conrado III e Filipe II.","Frederico Barba-Roxa, Ricardo Coração de Leão e Filipe II (Augusto).","Guilherme, o Conquistador, e Henrique II.","Otão I, João Sem Terra e Frederico II.",b
"TERCEIRA CRUZADA (1189–1192): Qual foi o destino do Imperador Frederico Barba-Roxa (Alemanha) durante a Cruzada, causando a desorganização de seu exército?","Ele chegou em Jerusalém e a conquistou.","Ele foi derrotado por Saladino em batalha.","Ele se afogou em um rio na Anatólia.","Ele retornou para a Alemanha após um desentendimento com Ricardo.",c
"TERCEIRA CRUZADA (1189–1192): Qual foi o principal objetivo alcançado por Ricardo Coração de Leão (Inglaterra) na Cruzada?","A conquista de Damasco.","A derrota de Saladino na Batalha de Arsuf e a captura estratégica do porto de Acre.","A reconquista de Jerusalém.","O saque de Constantinopla.",b
"TERCEIRA CRUZADA (1189–1192): Qual foi a cidade portuária que se tornou a nova capital do Reino Latino de Jerusalém após a Cruzada, e o principal centro comercial?","Jaffa.","Tiro.","Acre.","Trípoli.",c
"TERCEIRA CRUZADA (1189–1192): Qual é o significado do apelido 'Coração de Leão' atribuído ao Rei Ricardo I?","Sua crueldade com os prisioneiros.","Sua bravura, coragem e ferocidade em batalha.","Sua lealdade ao Rei da França.","Sua habilidade diplomática.",b
"TERCEIRA CRUZADA (1189–1192): O que marcou a rivalidade entre Ricardo I e Filipe II (França) durante a Cruzada?","Ambos lutaram por Jerusalém juntos.","Filipe, após a captura de Acre, retornou à França devido a conflitos com Ricardo e disputas territoriais, abandonando a Cruzada.","Filipe foi morto em batalha por Saladino.","Eles se uniram para atacar Constantinopla.",b
"TERCEIRA CRUZADA (1189–1192): Qual foi o ato controverso e de extrema crueldade de Ricardo I após a conquista de Acre?","A negociação de paz com Saladino.","O massacre de milhares de prisioneiros muçulmanos sob seu comando.","A destruição de todas as igrejas em Acre.","O retorno imediato para a Inglaterra.",b
"TERCEIRA CRUZADA (1189–1192): O que o Tratado de Jaffa (1192) estabeleceu entre Ricardo e Saladino?","O fim do controle muçulmano sobre Jerusalém.","Uma trégua que manteve Jerusalém sob domínio muçulmano, mas permitiu peregrinações cristãs desarmadas.","O controle total do litoral para Saladino.","A divisão da Terra Santa em partes iguais.",b
