# TEMA: O LEGADO DAS CRUZADAS FINAIS, A RECONQUISTA E O CERCO DE VIENA
# DESCRIÇÃO: Análise dos eventos da Sexta, Sétima e Últimas Cruzadas (1228–1291), o avanço da Reconquista Ibérica e a contenção final do Império Otomano na Europa (1683).
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"SEXTA CRUZADA (1228-1229): Quem liderou a Sexta Cruzada, sendo um dos monarcas mais poderosos e excomungado pelo Papa Gregório IX?","Luís IX da França.","Frederico II, Imperador do Sacro Império Romano-Germânico.","Ricardo Coração de Leão.","Eduardo I da Inglaterra.",b
"SEXTA CRUZADA (1228-1229): Qual foi o principal motivo da excomunhão de Frederico II pelo Papa?","Sua derrota na Batalha de Damietta.","Seu atraso e hesitação em partir para a Cruzada, descumprindo o juramento.","Sua negociação com o Sultão Al-Kamil.","O ataque à cidade de Zara.",b
"SEXTA CRUZADA (1228-1229): Qual sultão muçulmano, com quem Frederico II tinha boas relações diplomáticas, negociou a devolução de Jerusalém aos cristãos?","Saladino.","Al-Kamil (Sultão do Egito e Damasco).","Baibars.","Nur ad-Din.",b
"SEXTA CRUZADA (1228-1229): Qual foi o método utilizado por Frederico II para recuperar Jerusalém?","Um cerco militar de longa duração.","Uma vitória esmagadora em batalha campal.","Uma negociação diplomática e um tratado de paz.","O ataque à Constantinopla.",c
"SEXTA CRUZADA (1228-1229): Qual cidade foi recuperada pelos cruzados e permaneceu sob controle cristão por cerca de 15 anos após o Tratado de Jaffa (1229)?","Constantinopla.","Edessa.","Acre.","Jerusalém.",d
"SEXTA CRUZADA (1228-1229): Qual foi a reação do Papado e dos Barões Locais (Reino Latino) à recuperação de Jerusalém por Frederico II?","Aprovação entusiástica, pois a cidade foi recuperada.","Alegria, mas repúdio à forma de conquista (negociação) e hostilidade devido à sua excomunhão.","A total subordinação a Frederico II.","O fim imediato da excomunhão.",b
"SEXTA CRUZADA (1228-1229): O que o Tratado de Jaffa de 1229 estabeleceu?","A completa aniquilação do Califado.","A devolução de Jerusalém (exceto o Monte do Templo/Esplanada das Mesquitas) e uma trégua de dez anos.","A divisão da Terra Santa em partes iguais.","O fim do Império Bizantino.",b
"SEXTA CRUZADA (1228-1229): Onde Frederico II se coroou Rei de Jerusalém, já que estava excomungado e o Patriarca recusou-se a coroá-lo?","Em Roma.","Em Acre, a capital do Reino Latino.","No Santo Sepulcro, usando suas próprias mãos.","Em Damietta.",c
"SEXTA CRUZADA (1228-1229): Qual dos seguintes condados cruzados ainda existia no século XIII, sendo um ponto de resistência após a queda de Edessa?","Condado de Edessa.","Condado de Trípoli.","Reino de Jerusalém (Acre).","Principado de Antioquia.",b
"SEXTA CRUZADA (1228-1229): Qual foi o principal legado da Sexta Cruzada?","O fracasso militar de Frederico II.","A demonstração de que a diplomacia e a negociação poderiam ter sucesso onde a guerra falhou.","O retorno de todos os europeus para casa.","A conquista do Egito.",b
