pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,alternativa_e,resposta_correta,explicacao
"Qual a função principal de um Load Balancer em uma arquitetura de escala horizontal?","Aumentar a capacidade de processamento de um único servidor físico.","Atuar como ponto de entrada para distribuir o tráfego entre múltiplas instâncias da aplicação.","Armazenar os arquivos de sessão dos usuários para liberar espaço em disco.","Executar o código PHP antes que ele chegue ao servidor web.","Substituir a necessidade de um servidor de banco de dados centralizado.",B,"O Load Balancer recebe as requisições externas e as repassa para diferentes instâncias (Servidor A, B, C...) conforme algoritmos de distribuição."
"O que caracteriza o algoritmo 'Round Robin' em um balanceador de carga?","Ele direciona o tráfego apenas para o servidor com menor uso de CPU.","Ele mantém o usuário sempre no mesmo servidor durante toda a sessão.","Ele distribui as requisições de forma circular, uma para cada servidor sequencialmente.","Ele prioriza servidores que possuem discos SSD mais rápidos.","Ele bloqueia requisições de IPs suspeitos automaticamente.",C,"O Round Robin é um dos algoritmos mais simples, onde cada nova requisição é enviada para o próximo servidor da fila em um ciclo contínuo."
"Por que o uso do comando session_start() padrão do PHP pode ser um problema em escala horizontal?","Porque o PHP não consegue criar sessões em servidores que estão atrás de um Load Balancer.","Porque os arquivos de sessão são salvos no disco local de um servidor específico, tornando-os inacessíveis para os outros.","Porque o Load Balancer bloqueia a criação de arquivos na pasta /tmp por segurança.","Porque as sessões do PHP só funcionam se a aplicação estiver em escala vertical.","Porque o comando consome muita memória RAM em arquiteturas distribuídas.",B,"Por padrão, o PHP salva sessões no sistema de arquivos local. Se o Load Balancer enviar a próxima requisição para outro servidor, os dados da sessão não serão encontrados."
"O que significa dizer que uma aplicação PHP precisa ser 'Stateless' para escalar horizontalmente?","Que a aplicação não deve possuir nenhum tipo de banco de dados.","Que o código fonte não pode ser alterado após o deploy.","Que nenhum servidor deve guardar informações vitais (como sessões ou uploads) em seu disco local.","Que a aplicação deve ignorar erros de conexão de rede.","Que o estado da aplicação deve ser reiniciado a cada 24 horas automaticamente.",C,"Uma aplicação Stateless (sem estado) garante que qualquer instância do servidor possa processar qualquer requisição, pois os dados voláteis não dependem do armazenamento local da máquina."
"Qual o principal objetivo do conceito de Bounded Context (Contexto Delimitado) no DDD?","Criar uma única tabela de banco de dados que atenda a todos os setores da empresa.","Dividir um sistema complexo em mini-sistemas independentes com modelos de dados específicos para cada contexto.","Garantir que todas as classes do sistema herdem da mesma classe base.","Impedir que o desenvolvedor utilize frameworks externos como o Laravel.","Aumentar a velocidade de escrita no banco de dados MySQL.",B,"Bounded Contexts permitem que o mesmo conceito (ex: Produto) tenha representações diferentes e simplificadas dependendo da necessidade (Vendas vs. Logística)."
"No DDD, como o contexto de 'Logística' visualizaria um 'Produto' em comparação ao contexto de 'Vendas'?","Logística foca em Preço e Fotos; Vendas foca em Dimensões e Peso.","Ambos devem visualizar exatamente os mesmos campos para manter a consistência.","Logística foca em Peso e localização no armazém; Vendas foca em Descrição e Avaliações.","A Logística não deve ter acesso ao objeto Produto.","O contexto de Logística deve obrigatoriamente usar a mesma tabela de banco de dados que Vendas.",C,"Cada contexto deve conter apenas as informações necessárias para sua operação, evitando classes gigantes e acoplamento desnecessário."
"O que caracteriza uma 'Entidade' dentro do modelo de domínio do DDD?","Uma classe que não possui identidade e serve apenas para carregar dados.","Uma tabela no banco de dados que armazena configurações globais.","Uma classe PHP pura que possui uma identidade única (ID) e encapsula regras de negócio.","Um arquivo de configuração JSON usado pelo Docker.","Uma função auxiliar dentro de um Controller do Laravel.",C,"Entidades são objetos definidos por sua identidade contínua e são onde residem as regras de negócio essenciais que protegem o estado do sistema."
"Segundo a regra de ouro dos Agregados (Aggregates), como um item deve ser adicionado a um pedido?","Instanciando o item e salvando-o diretamente via ORM no banco de dados.","Enviando uma requisição HTTP diretamente para a tabela de itens.","Através da Raiz do Agregado (Pedido), que valida as regras antes de processar a adição.","Criando uma procedure no banco de dados para garantir a performance.","O DDD desaconselha a adição de itens em pedidos após sua criação.",C,"A 'Aggregate Root' (Raiz do Agregado) é a porta de entrada única que garante que todas as regras de consistência sejam respeitadas antes de qualquer alteração."
"O que significa o 'Isolamento da Infraestrutura' em uma arquitetura DDD bem implementada?","Que o código de domínio deve depender diretamente do Eloquent ou Doctrine.","Que as regras de negócio (Domínio) não devem conhecer detalhes técnicos como Frameworks, Bancos de Dados ou Protocolos HTTP.","Que o servidor de banco de dados deve estar em uma rede física isolada.","Que não se deve usar interfaces para realizar operações de persistência.","Que todo o código PHP deve ser convertido para binário para segurança.",B,"O Domínio deve ser composto por código PHP puro; detalhes como 'como salvar no MySQL' ficam na camada de Infraestrutura, facilitando trocas e testes."
"Qual problema o DDD resolve bem nas operações de 'Escrita', mas que pode gerar lentidão em 'Leituras' complexas?","O excesso de usuários acessando o site simultaneamente.","A falta de tipagem no PHP 8.","A proteção rigorosa das regras de negócio e o isolamento dos modelos que dificultam queries de busca com múltiplos joins.","A impossibilidade de usar cache como Redis ou Memcached.","O limite de conexões simultâneas do Load Balancer.",C,"Como o DDD separa bem os modelos, montar uma tela que exige dados de vários contextos pode se tornar custoso, sendo esse o gatilho para o uso de CQRS."
