# TEMA: O MUNDO ISLÂMICO: DA GÊNESE À IDADE MÉDIA E ALÉM
# DESCRIÇÃO: Análise cronológica das origens (Maomé, Revelação), expansão (Califados Omíadas e Abássidas), divisões doutrinárias (Xiitas/Sunitas), e as contribuições culturais e legais do Islã.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"CONTEXTO PRÉ-ISLÂMICO: Quem eram os 'Beduínos' na Arábia pré-islâmica?","Comerciantes ricos de Meca.","Judeus exilados na Arábia.","Pastores e nômades que viviam em tribos, com tradições politeístas.","Líderes militares persas.",c
"CONTEXTO PRÉ-ISLÂMICO: Qual era a profissão e a posição social do futuro fundador do Islã, Maomé, antes de receber as revelações?","Um rico proprietário de terras em Medina.","Um mercador e caravanista da tribo Coraixita, casado com uma viúva rica (Khadija).","Um general do Império Bizantino.","Um monge cristão.",b
"MAOMÉ E A FÉ: Em que ano e através de qual evento (narrado na tradição islâmica) Maomé recebeu sua primeira revelação do Arcanjo Gabriel?","Em 622, durante a Hégira.","Em 610, na Caverna de Hira.","Em 570, no seu nascimento.","Em 632, após a conquista de Meca.",b
"MAOMÉ E A FÉ: Qual era a principal ideologia religiosa pregada por Maomé, em contraste com o politeísmo da Arábia pré-islâmica?","O Budismo.","O politeísmo com ênfase em Alá.","O monoteísmo estrito (Alá é o único Deus) e a condenação da idolatria.","O Cristianismo monofisita.",c
"MAOMÉ E A FÉ: O que a religião islâmica entende por 'Corão' (ou Alcorão)?","Um livro de leis civis e comerciais.","O livro sagrado, considerado a palavra literal de Deus (Alá), revelada a Maomé.","Um conjunto de poemas pré-islâmicos.","Os escritos dos primeiros Califas.",b
"MAOMÉ E A FÉ: Qual é o significado da 'Hégira' (622 d.C.) e por que este evento é o marco inicial do calendário islâmico?","A primeira revelação de Maomé.","A fuga (ou migração) de Maomé e seus seguidores de Meca para Medina, marcando o estabelecimento da primeira comunidade política islâmica.","A morte de Maomé.","A conquista da Península Ibérica.",b
"MAOMÉ E A FÉ: O que o termo 'Djihad' (Jihad) significa?","Exclusivamente 'Guerra Santa' contra infiéis.","O esforço ou luta, que pode ser tanto uma luta interior espiritual contra o pecado quanto uma guerra de defesa da comunidade.","A lei islâmica (Sharia).","O imposto pago pelos não-muçulmanos.",b
"OS CALIFADOS: O que eram os 'Califas' que sucederam Maomé após sua morte em 632 d.C.?","Líderes militares sem poder religioso.","Os sucessores políticos e espirituais de Maomé, com autoridade sobre a comunidade islâmica.","Os governantes do Império Bizantino.","Os sacerdotes do Império Persa.",b
"OS CALIFADOS: Qual cidade se tornou a capital do Império Islâmico sob o Califado Omíada (c. 661–750 d.C.)?","Meca.","Bagdá.","Medina.","Damasco (Síria).",d
"OS CALIFADOS: O que marcou o domínio da Península Ibérica (Al-Andalus) a partir de 711 d.C.?","A expulsão de todos os judeus e cristãos.","A ascensão do Califado Abássida.","A conquista e o estabelecimento de um domínio muçulmano que perdurou por séculos.","O fim do Califado Omíada.",c
"OS CALIFADOS: Qual foi o principal motivo da mudança da capital para Bagdá (c. 762 d.C.) sob o Califado Abássida, marcando um foco mais oriental e persa?","O desejo de retornar a Meca.","A necessidade de fugir dos ataques europeus.","Um golpe de estado liderado pelos Omíadas.","O assassinato de Maomé.",b
