# TEMA: O IMPÉRIO ROMANO: DA FUNDAÇÃO LENDÁRIA À QUEDA DE 476 d.C.
# DESCRIÇÃO: Análise cronológica da Monarquia, República e Império, focando na estrutura social, expansão militar, cultura (Grega/Latim) e a crise final do Império Ocidental.
pergunta,alternativa_a,alternativa_b,alternativa_c,alternativa_d,resposta_correta
"FUNDAÇÃO E REPÚBLICA INICIAL: De acordo com a lenda, qual evento simbólico marcou a fundação de Roma em 753 a.C.?","A chegada de Eneias à Península Itálica.","A vitória de Rômulo sobre Remo e o traçado da cidade no Monte Palatino.","A união dos Etruscos e dos Gregos.","A assinatura do Tratado de Tordesilhas.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Qual povo estrangeiro é considerado o que mais influenciou os romanos no período monárquico e inicial da República?","Os Persas.","Os Fenícios.","Os Etruscos.","Os Egípcios.",c
"FUNDAÇÃO E REPÚBLICA INICIAL: Qual era a principal característica da estrutura social romana, dividida em descendentes das famílias fundadoras e o restante da população livre?","A divisão entre Clérigos e Nobres.","A divisão entre Patrícios e Plebeus.","A divisão entre Cidadãos e Metecos.","A divisão entre Eupátridas e Thetes.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Na República Romana (c. 509 a.C.), quem detinha o poder legislativo e consultivo máximo, sendo composto pelos chefes das famílias patrícias?","Os Cônsules.","O Senado.","Os Tribunos da Plebe.","O Imperador.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Qual era a língua oficial do Império, que deu origem a muitas línguas modernas (como português, espanhol e italiano), conhecidas como 'Línguas Latinas' ou Românicas?","O Grego Koiné.","O Aramaico.","O Latim.","O Etrusco.",c
"FUNDAÇÃO E REPÚBLICA INICIAL: Como os plebeus conquistaram direitos políticos e sociais ao longo dos séculos da República?","Através de guerras civis armadas contra os patrícios.","Através de secessões (saídas em massa de Roma) e da criação de suas próprias magistraturas (Tribunos).","Através da dissolução do Senado.","Através da compra de títulos de nobreza.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Qual era o direito exclusivo dos plebeus (conquistado após conflitos sociais) que lhes permitia vetar (interceder contra) decisões dos magistrados e do Senado?","O direito de Imperium.","O direito de *Veto* (Poder dos Tribunos da Plebe).","O direito de Senatus Consultum.","O direito de Censura.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Quem tinha direito de voto nas Assembleias Romanas durante a República?","Apenas os membros do Senado.","Todos os homens livres, filhos de cidadãos romanos (mas a participação era dificultada pela localização).","Todos os habitantes, incluindo mulheres, escravos e estrangeiros.","Apenas os patrícios e os Cônsules.",b
"FUNDAÇÃO E REPÚBLICA INICIAL: Como a expansão territorial de Roma começou na fase inicial da República?","Com a conquista do Egito e da Ásia Menor.","Com a colonização da Gália (França).","Com o domínio gradual da Península Itálica.","Com o ataque direto a Cartago.",c
"EXPANSÃO E CRISE DA REPÚBLICA: Qual guerra foi crucial para o domínio romano no Mediterrâneo, resultando na destruição de Cartago e na conquista da Sicília?","As Guerras Gálicas.","As Guerras Púnicas.","As Guerras Mitridáticas.","As Guerras Civis.",b
